"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA0852.3","MA0852.3",1,2207,50,5.5175,9.06207521522429,0.107307022675567,"FOXK1",0.856260769054737
"MA1103.3","MA1103.3",1,2207,50,5.5175,9.06207521522429,0.107307022675567,"FOXK2",0.856260769054737
"MA0157.4","MA0157.4",1,2207,50,5.5175,9.06207521522429,0.107307022675567,"Foxo3",0.856260769054737
"MA0481.4","MA0481.4",1,2207,50,5.5175,9.06207521522429,0.107307022675567,"FOXP1",0.856260769054737
"MA1541.2","MA1541.2",1,2208,50,5.52,9.05797101449275,0.107354263856597,"NR6A1",0.856260769054737
"MA0494.2","MA0494.2",1,2214,50,5.535,9.03342366757001,0.107637684692117,"Nr1h3::Rxra",0.856260769054737
"MA1574.2","MA1574.2",1,2214,50,5.535,9.03342366757001,0.107637684692117,"THRB",0.856260769054737
"MA1711.2","MA1711.2",1,2219,50,5.5475,9.01306894997747,0.107873834345859,"ZNF343",0.856260769054737
"MA2334.1","MA2334.1",1,2221,50,5.5525,9.0049527239982,0.107968285457136,"ZNF547",0.856260769054737
"MA0160.3","MA0160.3",1,2239,50,5.5975,8.93255917820455,0.108818120453011,"NR4A2",0.856260769054737
"MA0677.2","MA0677.2",1,2241,50,5.6025,8.92458723784025,0.108912521563039,"Nr2f6",0.856260769054737
"MA0122.4","MA0122.4",1,2262,50,5.655,8.84173297966401,0.109903431335783,"Nkx3-2",0.856260769054737
"MA1559.2","MA1559.2",1,2271,50,5.6775,8.80669308674593,0.110327938198455,"SNAI3",0.856260769054737
"MA0728.1","MA0728.1",1,2278,50,5.695,8.77963125548727,0.110658040201005,"Nr2F6",0.856260769054737
"MA1537.2","MA1537.2",1,2283,50,5.7075,8.76040297853701,0.110893789844746,"NR2F1.2",0.856260769054737
"MA0751.2","MA0751.2",1,2306,50,5.765,8.67302688638335,0.111977835695892,"ZIC4",0.856260769054737
"MA1528.2","MA1528.2",1,2319,50,5.7975,8.6244070720138,0.112590264756619,"NFIX.1",0.856260769054737
"MA1550.2","MA1550.2",1,2340,50,5.85,8.54700854700855,0.113579126978174,"PPARD",0.856260769054737
"MA0119.1","MA0119.1",1,2364,50,5.91,8.46023688663283,0.114708580214505,"NFIC::TLX1",0.856260769054737
"MA0857.1","MA0857.1",1,2370,50,5.925,8.43881856540084,0.114990831020776,"Rarb",0.856260769054737
"MA0813.1","MA0813.1",1,2371,50,5.9275,8.43525938422606,0.115037868446711,"TFAP2B",0.856260769054737
"MA0898.2","MA0898.2",1,2416,50,6.04,8.27814569536424,0.117153258831471,"Hmx3",0.856260769054737
"MA0667.1","MA0667.1",1,2417,50,6.0425,8.27472072817542,0.117200238755969,"MYF6",0.856260769054737
"MA0643.2","MA0643.2",1,2420,50,6.05,8.26446280991736,0.117341171029276,"Esrrg",0.856260769054737
"MA0691.1","MA0691.1",1,2426,50,6.065,8.24402308326463,0.117623001825045,"TFAP4",0.856260769054737
"MA0018.5","MA0018.5",1,2431,50,6.0775,8.22706705059646,0.117857826445661,"CREB1",0.856260769054737
"MA0696.1","MA0696.1",1,2443,50,6.1075,8.18665575112566,0.118421278031951,"ZIC1",0.856260769054737
"MA1955.2","MA1955.2",1,2446,50,6.115,8.17661488143908,0.11856211280282,"FOXO1::ELK3",0.856260769054737
"MA1589.2","MA1589.2",1,2461,50,6.1525,8.12677773262901,0.119266117902947,"ZNF140",0.856260769054737
"MA0051.2","MA0051.2",1,2499,50,6.2475,8.0032012805122,0.121048338708467,"IRF2",0.856260769054737
"MA0659.4","MA0659.4",1,2499,50,6.2475,8.0032012805122,0.121048338708467,"Mafg",0.856260769054737
"MA0089.3","MA0089.3",1,2524,50,6.31,7.92393026941363,0.1222198679967,"MAFG::NFE2L1",0.856260769054737
